ktotal,kBell,kGHZ,TotalRate,TotalRateBell,TotalRateGHZ
12,7,2,0.861863222316126,0.861863222316126,0
12,7,3,0.861863222316126,0.861863222316126,0
12,7,4,0.861863222316126,0.861863222316126,0
12,7,5,0.861863222316126,0.861863222316126,0
12,8,0,1.24959077397682,1.24959077397682,0
12,8,1,1.24959077397682,1.24959077397682,0
12,8,2,1.24959077397682,1.24959077397682,0
12,8,3,1.24959077397682,1.24959077397682,0
12,8,4,1.24959077397682,1.24959077397682,0
12,9,0,1.24959077397682,1.24959077397682,0
12,9,1,1.24959077397682,1.24959077397682,0
12,9,2,1.24959077397682,1.24959077397682,0
12,9,3,1.24959077397682,1.24959077397682,0
12,10,0,1.65355223080624,1.65355223080624,0
12,10,1,1.65355223080624,1.65355223080624,0
12,10,2,1.65355223080624,1.65355223080624,0
12,11,0,1.65355223080624,1.65355223080624,0
12,11,1,1.65355223080624,1.65355223080624,0
12,12,0,2.08783226478744,2.08783226478744,0
13,0,0,0,0,0
13,0,1,0,0,0
13,0,2,0,0,0
13,0,3,0,0,0
13,0,4,0,0,0
13,0,5,0,0,0
13,0,6,0.413784259292221,0,0.413784259292221
13,0,7,0.413784259292221,0,0.413784259292221
13,0,8,0.413784259292221,0,0.413784259292221
13,0,9,0.727596856209078,0,0.727596856209078
13,0,10,0.727596856209078,0,0.727596856209078
13,0,11,0.727596856209078,0,0.727596856209078
13,0,12,1.12994455222235,0,1.12994455222235
13,0,13,1.12994455222235,0,1.12994455222235
13,1,0,0,0,0
13,1,1,0,0,0
13,1,2,0,0,0
13,1,3,0,0,0
13,1,4,0,0,0
13,1,5,0,0,0
13,1,6,0.413784259292221,0,0.413784259292221
13,1,7,0.413784259292221,0,0.413784259292221
13,1,8,0.413784259292221,0,0.413784259292221
13,1,9,0.727596856209078,0,0.727596856209078
13,1,10,0.727596856209078,0,0.727596856209078
13,1,11,0.727596856209078,0,0.727596856209078
13,1,12,1.12994455222235,0,1.12994455222235
13,2,0,0.112212030571856,0.112212030571856,0
13,2,1,0.112212030571856,0.112212030571856,0
13,2,2,0.112212030571856,0.112212030571856,0
13,2,3,0.112212030571856,0.112212030571856,0
13,2,4,0.112212030571856,0.112212030571856,0
13,2,5,0.112212030571856,0.112212030571856,0
13,2,6,0.525996289864077,0.112212030571856,0.413784259292221
13,2,7,0.525996289864077,0.112212030571856,0.413784259292221
13,2,8,0.525996289864077,0.112212030571856,0.413784259292221
13,2,9,0.839808886780933,0.112212030571856,0.727596856209078
13,2,10,0.839808886780933,0.112212030571856,0.727596856209078
13,2,11,0.839808886780933,0.112212030571856,0.727596856209078
13,3,0,0.112212030571856,0.112212030571856,0
13,3,1,0.112212030571856,0.112212030571856,0
13,3,2,0.112212030571856,0.112212030571856,0
13,3,3,0.112212030571856,0.112212030571856,0
13,3,4,0.112212030571856,0.112212030571856,0
13,3,5,0.112212030571856,0.112212030571856,0
13,3,6,0.525996289864077,0.112212030571856,0.413784259292221
13,3,7,0.525996289864077,0.112212030571856,0.413784259292221
13,3,8,0.525996289864077,0.112212030571856,0.413784259292221
13,3,9,0.839808886780933,0.112212030571856,0.727596856209078
13,3,10,0.839808886780933,0.112212030571856,0.727596856209078
13,4,0,0.434847128499401,0.434847128499401,0
13,4,1,0.434847128499401,0.434847128499401,0
13,4,2,0.434847128499401,0.434847128499401,0
13,4,3,0.434847128499401,0.434847128499401,0
13,4,4,0.434847128499401,0.434847128499401,0
13,4,5,0.434847128499401,0.434847128499401,0
13,4,6,0.848631387791622,0.434847128499401,0.413784259292221
13,4,7,0.848631387791622,0.434847128499401,0.413784259292221
13,4,8,0.848631387791622,0.434847128499401,0.413784259292221
13,4,9,1.16244398470848,0.434847128499401,0.727596856209078
13,5,0,0.434847128499401,0.434847128499401,0
13,5,1,0.434847128499401,0.434847128499401,0
13,5,2,0.434847128499401,0.434847128499401,0
13,5,3,0.434847128499401,0.434847128499401,0
13,5,4,0.434847128499401,0.434847128499401,0
13,5,5,0.434847128499401,0.434847128499401,0
13,5,6,0.848631387791622,0.434847128499401,0.413784259292221
13,5,7,0.848631387791622,0.434847128499401,0.413784259292221
13,5,8,0.848631387791622,0.434847128499401,0.413784259292221
13,6,0,0.861863222316126,0.861863222316126,0
13,6,1,0.861863222316126,0.861863222316126,0
13,6,2,0.861863222316126,0.861863222316126,0
13,6,3,0.861863222316126,0.861863222316126,0
13,6,4,0.861863222316126,0.861863222316126,0
13,6,5,0.861863222316126,0.861863222316126,0
13,6,6,1.27564748160835,0.861863222316126,0.413784259292221
13,6,7,1.27564748160835,0.861863222316126,0.413784259292221
13,7,0,0.861863222316126,0.861863222316126,0
13,7,1,0.861863222316126,0.861863222316126,0
13,7,2,0.861863222316126,0.861863222316126,0
13,7,3,0.861863222316126,0.861863222316126,0
13,7,4,0.861863222316126,0.861863222316126,0
13,7,5,0.861863222316126,0.861863222316126,0
13,7,6,1.27564748160835,0.861863222316126,0.413784259292221
13,8,0,1.24959077397682,1.24959077397682,0
13,8,1,1.24959077397682,1.24959077397682,0
13,8,2,1.24959077397682,1.24959077397682,0
13,8,3,1.24959077397682,1.24959077397682,0
13,8,4,1.24959077397682,1.24959077397682,0
13,8,5,1.24959077397682,1.24959077397682,0
13,9,0,1.24959077397682,1.24959077397682,0
13,9,1,1.24959077397682,1.24959077397682,0
13,9,2,1.24959077397682,1.24959077397682,0
13,9,3,1.24959077397682,1.24959077397682,0
