kSW,kGHZ,kBell,kA,kD,rateSum,rateGHZ,rateBell
15,9,6,2,3,0.962674879622567,0.0984880965553853,0.864186783067182
15,10,5,2,2,0.533233663302773,0.0984880965553853,0.434745566747388
15,11,4,2,2,0.533233663302773,0.0984880965553853,0.434745566747388
15,12,3,3,1,0.543812527611403,0.431371675175746,0.112440852435657
15,13,2,3,1,0.543812527611403,0.431371675175746,0.112440852435657
15,14,1,3,0,0.431371675175746,0.431371675175746,0
15,15,0,3,0,0.431371675175746,0.431371675175746,0
16,0,16,0,8,2.9343974800413,0,2.9343974800413
16,1,15,0,7,2.5196635494644,0,2.5196635494644
16,2,14,0,7,2.5196635494644,0,2.5196635494644
16,3,13,0,6,2.09368195347993,0,2.09368195347993
16,4,12,1,6,2.09368195347993,0,2.09368195347993
16,5,11,1,5,1.64961114012738,0,1.64961114012738
16,6,10,1,5,1.64961114012738,0,1.64961114012738
16,7,9,1,4,1.24776114669613,0,1.24776114669613
16,8,8,2,4,1.34624924325152,0.0984880965553853,1.24776114669613
16,9,7,2,3,0.962674879622567,0.0984880965553853,0.864186783067182
16,10,6,2,3,0.962674879622567,0.0984880965553853,0.864186783067182
16,11,5,2,2,0.533233663302773,0.0984880965553853,0.434745566747388
16,12,4,3,2,0.866117241923134,0.431371675175746,0.434745566747388
16,13,3,3,1,0.543812527611403,0.431371675175746,0.112440852435657
16,14,2,3,1,0.543812527611403,0.431371675175746,0.112440852435657
16,15,1,3,0,0.431371675175746,0.431371675175746,0
16,16,0,4,0,0.649172084018365,0.649172084018365,0
17,0,17,0,8,2.9343974800413,0,2.9343974800413
17,1,16,0,8,2.9343974800413,0,2.9343974800413
17,2,15,0,7,2.5196635494644,0,2.5196635494644
17,3,14,0,7,2.5196635494644,0,2.5196635494644
17,4,13,1,6,2.09368195347993,0,2.09368195347993
17,5,12,1,6,2.09368195347993,0,2.09368195347993
17,6,11,1,5,1.64961114012738,0,1.64961114012738
17,7,10,1,5,1.64961114012738,0,1.64961114012738
17,8,9,2,4,1.34624924325152,0.0984880965553853,1.24776114669613
17,9,8,2,4,1.34624924325152,0.0984880965553853,1.24776114669613
17,10,7,2,3,0.962674879622567,0.0984880965553853,0.864186783067182
17,11,6,2,3,0.962674879622567,0.0984880965553853,0.864186783067182
17,12,5,3,2,0.866117241923134,0.431371675175746,0.434745566747388
17,13,4,3,2,0.866117241923134,0.431371675175746,0.434745566747388
17,14,3,3,1,0.543812527611403,0.431371675175746,0.112440852435657
17,15,2,3,1,0.543812527611403,0.431371675175746,0.112440852435657
17,16,1,4,0,0.649172084018365,0.649172084018365,0
17,17,0,4,0,0.649172084018365,0.649172084018365,0
18,0,18,0,9,3.36256679821114,0,3.36256679821114
18,1,17,0,8,2.9343974800413,0,2.9343974800413
18,2,16,0,8,2.9343974800413,0,2.9343974800413
18,3,15,0,7,2.5196635494644,0,2.5196635494644
18,4,14,1,7,2.5196635494644,0,2.5196635494644
18,5,13,1,6,2.09368195347993,0,2.09368195347993
18,6,12,1,6,2.09368195347993,0,2.09368195347993
18,7,11,1,5,1.64961114012738,0,1.64961114012738
18,8,10,2,5,1.74809923668277,0.0984880965553853,1.64961114012738
18,9,9,2,4,1.34624924325152,0.0984880965553853,1.24776114669613
18,10,8,2,4,1.34624924325152,0.0984880965553853,1.24776114669613
18,11,7,2,3,0.962674879622567,0.0984880965553853,0.864186783067182
18,12,6,3,3,1.29555845824293,0.431371675175746,0.864186783067182
18,13,5,3,2,0.866117241923134,0.431371675175746,0.434745566747388
18,14,4,3,2,0.866117241923134,0.431371675175746,0.434745566747388
18,15,3,3,1,0.543812527611403,0.431371675175746,0.112440852435657
18,16,2,4,1,0.761612936454022,0.649172084018365,0.112440852435657
18,17,1,4,0,0.649172084018365,0.649172084018365,0
18,18,0,4,0,0.649172084018365,0.649172084018365,0
19,0,19,0,9,3.36256679821114,0,3.36256679821114
19,1,18,0,9,3.36256679821114,0,3.36256679821114
19,2,17,0,8,2.9343974800413,0,2.9343974800413
19,3,16,0,8,2.9343974800413,0,2.9343974800413
19,4,15,1,7,2.5196635494644,0,2.5196635494644
19,5,14,1,7,2.5196635494644,0,2.5196635494644
19,6,13,1,6,2.09368195347993,0,2.09368195347993
19,7,12,1,6,2.09368195347993,0,2.09368195347993
19,8,11,2,5,1.74809923668277,0.0984880965553853,1.64961114012738
19,9,10,2,5,1.74809923668277,0.0984880965553853,1.64961114012738
19,10,9,2,4,1.34624924325152,0.0984880965553853,1.24776114669613
19,11,8,2,4,1.34624924325152,0.0984880965553853,1.24776114669613
19,12,7,3,3,1.29555845824293,0.431371675175746,0.864186783067182
19,13,6,3,3,1.29555845824293,0.431371675175746,0.864186783067182
19,14,5,3,2,0.866117241923134,0.431371675175746,0.434745566747388
19,15,4,3,2,0.866117241923134,0.431371675175746,0.434745566747388
19,16,3,4,1,0.761612936454022,0.649172084018365,0.112440852435657
19,17,2,4,1,0.761612936454022,0.649172084018365,0.112440852435657
19,18,1,4,0,0.649172084018365,0.649172084018365,0
19,19,0,4,0,0.649172084018365,0.649172084018365,0
20,0,20,0,10,3.80855917134873,0,3.80855917134873
20,1,19,0,9,3.36256679821114,0,3.36256679821114
20,2,18,0,9,3.36256679821114,0,3.36256679821114
20,3,17,0,8,2.9343974800413,0,2.9343974800413
20,4,16,1,8,2.9343974800413,0,2.9343974800413
20,5,15,1,7,2.5196635494644,0,2.5196635494644
20,6,14,1,7,2.5196635494644,0,2.5196635494644
20,7,13,1,6,2.09368195347993,0,2.09368195347993
20,8,12,2,6,2.19217005003531,0.0984880965553853,2.09368195347993
20,9,11,2,5,1.74809923668277,0.0984880965553853,1.64961114012738
20,10,10,2,5,1.74809923668277,0.0984880965553853,1.64961114012738
20,11,9,2,4,1.34624924325152,0.0984880965553853,1.24776114669613
20,12,8,3,4,1.67913282187188,0.431371675175746,1.24776114669613
20,13,7,3,3,1.29555845824293,0.431371675175746,0.864186783067182
20,14,6,3,3,1.29555845824293,0.431371675175746,0.864186783067182
20,15,5,3,2,0.866117241923134,0.431371675175746,0.434745566747388
20,16,4,4,2,1.08391765076575,0.649172084018365,0.434745566747388
20,17,3,4,1,0.761612936454022,0.649172084018365,0.112440852435657
20,18,2,4,1,0.761612936454022,0.649172084018365,0.112440852435657
20,19,1,4,0,0.649172084018365,0.649172084018365,0
20,20,0,5,0,0.999551874271552,0.999551874271552,0
21,0,21,0,10,3.80855917134873,0,3.80855917134873
21,1,20,0,10,3.80855917134873,0,3.80855917134873
21,2,19,0,9,3.36256679821114,0,3.36256679821114
21,3,18,0,9,3.36256679821114,0,3.36256679821114
21,4,17,1,8,2.9343974800413,0,2.9343974800413
21,5,16,1,8,2.9343974800413,0,2.9343974800413
21,6,15,1,7,2.5196635494644,0,2.5196635494644
21,7,14,1,7,2.5196635494644,0,2.5196635494644
